id,author,content,timestamp,attachments
1221094183599734814,ezequieloescobar,"Este canal será utilizado para realizar consultas (TPA, temas de la asignatura, parciales, etc.).Esperamos que sea lo más colaborativo posible.

Siéntanse libres de contestar las dudas de sus compañeros y/o aportar nuevas ideas 🙂",2024-03-23T13:52:20.203Z,[]
1222850245067538434,martinsintas,"Hola profe, buenos días. Tenía una consulta sobre el material de lectura para la segunda clase (03/04/2024). ¿Lo estarían subiendo en estos días? Muchas gracias y felices Pascuas 😄",2024-03-28T10:10:17.883Z,[]
1222882396014116914,ezequieloescobar,"Buen día Martín, cómo va? Sí, les estaremos dejando el material de lectura durante estos días así tienen tiempo de hacerlo!
Gracias y felices pascuaes también para vos!",2024-03-28T12:18:03.266Z,[]
1223026794320629791,nicolasbru,"Buenas tardes, una duda muy pequeña:",2024-03-28T21:51:50.505Z,[]
1223026905687654570,nicolasbru,En el seminario de java se habla de dependencia. Es un sinonimo de biblioteca o se diferencia en algo?,2024-03-28T21:52:17.057Z,[]
1223036024209412206,facundopiaggio,"Buenas Nico! Como bien mencionas, en este caso son sinonimos. 

Si no me equivoco (tomalo con pinzas) existe una pequeña diferencia, y es que la dependencia se encarga maven de instalarla/actualizarla etc, nosotros solo ponemos el ""link"" en el pom.xml.
Por otro lado una biblioteca/libreria, nosotros somos los encargados de realizar las instalacion y mantenerla actualizada ante cada update.",2024-03-28T22:28:31.082Z,[]
1223037839542059159,nicolasbru,Muchas gracias,2024-03-28T22:35:43.891Z,[]
1223050882049114292,nicolasbru,"Buenas noches, disculpen las molestias. Una consulta:",2024-03-28T23:27:33.467Z,[]
1223051083778359306,nicolasbru,"En el seminario JAVA hablan de una version y la muestran en el powershell, pero a la hora de instalar lo que dice el aula virtual es otra version distinta",2024-03-28T23:28:21.563Z,[]
1223051146319626281,nicolasbru,Esta de aca,2024-03-28T23:28:36.474Z,['images/1223051146319626281_image.png']
1223051184118562856,nicolasbru,Esta bien o tenemos que instalar la que dice el semianrio?,2024-03-28T23:28:45.486Z,[]
1223058819790405703,facundopiaggio,"Tenes la version correcta!! Si no me equivoco en el momento en el que se hizo este seminario se usaba Java 8. A partir del 2022 creo que lo cambiaron a Java 17, asi que esta todo en orden 😁",2024-03-28T23:59:05.972Z,[]
1223265634163490929,nicolasbru,"Buenos dias, disculpen las molestias. Les hago una consulta: En el seminario hablan sobre agregar ""dependencies"" al archivo ""pom.xml"" de la parte de MAVEN,",2024-03-29T13:40:54.361Z,[]
1223265773414383668,nicolasbru,El archivo que tengo en el editor es distinto al que muestran en el seminario pero intente agregarlo igual siguiendo los pasos,2024-03-29T13:41:27.561Z,[]
1223265848559538183,nicolasbru,Las dependencias se agregan igual que se muestra en el seminario? O en esta version esta en otro lado?,2024-03-29T13:41:45.477Z,[]
1223266051383365642,nicolasbru,Cuando intento sincronizar me aparece este error,2024-03-29T13:42:33.834Z,['images/1223266051383365642_image.png']
1223266403226882108,ezequieloescobar,"Buen día Nicolas! El ide te está diciendo que tenes errores de sintaxis en el archivo pom.xml. Revisalo. La estructura es exactamente la misma... Cuando creaste un nuevo proyecto seguramente se te inicializó con alguna que otra dependencia, a las cuales no les des bolilla a menos que entren en colisión con alguna que estás queriendo agregar",2024-03-29T13:43:57.720Z,[]
1223266901493420032,nicolasbru,"Soy un capo, lo estaba poniendo afuera del <proyect>",2024-03-29T13:45:56.516Z,[]
1223266949841289237,nicolasbru,"Gracias profe, ya se soluciono",2024-03-29T13:46:08.043Z,[]
1223292680579055696,martinsintas,"Buenas, tenía una consulta sobre la práctica, me encontraba haciendo las relaciones en el diagrama de clases pero no me termino de decidir si en la relación Inscripcion - Materia es una relación de composición (ya que las materias sin las inscripciones no servirían) o si es de dependencia (ya que la Inscripcion conoce/hace uso de las materias). Desde ya muchas y disculpen las molestias.",2024-03-29T15:28:22.729Z,[]
1223293251973550181,ezequieloescobar,"Martín, buen día! De dependencia no sería porque inscripción TIENE COMO atributo a Materias, por lo tanto ya la relación es Asociación simple - Agregación o Composición. ¿Por qué las materias no tienen sentido sin inscripciones? ¿El ciclo de vida de ambas abstracciones van de la mano? Pensalo!!",2024-03-29T15:30:38.960Z,[]
1223340152915624048,nicolasbru,"Buenas tardes, una consulta sobre la creación de proyectos. Al momento de crear me aparece para elegir el arquetipo. Hice algo mal? Porque en el seminario no muestran que se elija algún tipo de arquetipo para crear el proyecto",2024-03-29T18:37:01.016Z,['images/1223340152915624048_image.png']
1223340346210259014,nicolasbru,"Hablando del tema, al elegir el primer arquetipo tampoco me deja agregar las colecciones ""List"" por lo que tampoco se si es de eso el problema o de otro error de instalación.",2024-03-29T18:37:47.101Z,[]
1223347040994594838,facundopiaggio,"Buenas Nico! Usa el arquetipo que se llama ""quickstart"" o algo así, buscalo y dale a ese. Respecto a las colecciones, cuando tengas el proyecto armado con este arquetipo, si te sigue tirando el error que asumo que es el de ""Cannot resolve Symbol"" lo vemos!",2024-03-29T19:04:23.262Z,[]
1223418800154873957,gustavoporcel.,"Hola!
Tengo una consulta técnica de java: En una clase se puede declarar una lista en donde el tipo sea la clase misma? 
Por ejemplo, tengo una clase ""materia"" y quiero que tenga un atributo ""correlativas"" que sea una lista donde, justamente, el tipo sea una ""materia""",2024-03-29T23:49:31.979Z,[]
1223419040748535850,ezequieloescobar,"Hola Gustavo! Sí, es posible.",2024-03-29T23:50:29.341Z,[]
1223419179126751375,gustavoporcel.,"Oka, gracias Eze!!",2024-03-29T23:51:02.333Z,[]
1223479966998728814,nazarenolopez,"Buenas noches, quería consultar si para el tp anual vamos a tener como un repo que nos dan ustedes o creamos el nuestro y después subimos el link a algún lado? Gracias!",2024-03-30T03:52:35.291Z,[]
1223484632423469230,lucassaclier,Nosotros les vamos a dar un repositorio! Luego les pasaremos los pasos para obtenerlo.,2024-03-30T04:11:07.615Z,[]
1223484949500268667,nazarenolopez,Gracias Lucas! Felices pascuas y buen finde,2024-03-30T04:12:23.212Z,[]
1223623228031762432,eliasolivencia,"Buen dia, queria preguntar si para la clase que viene solo tenemos que hacer el punto 1 del validador de correlatividades. Por que en el aula virtual dice que hagamos los 3 puntos y tiene como fecha de entrega el jueves que viene .",2024-03-30T13:21:51.383Z,[]
1223623567137181727,ezequieloescobar,Buen día Elias. Los tres puntos. Revisa el mensaje que dejamos en el canal <#1219817856288686086>,2024-03-30T13:23:12.232Z,[]
1223745286514413608,julianlopez0817,"Buen día, quería preguntar si hay algún canal para armar grupos (poder comunicarnos entre los alumnos) ya que el <#1221978402396045402> parece ser más para cuando ya está armado",2024-03-30T21:26:52.393Z,[]
1223745604140662944,aylenmsandoval,"Hola! Sí, cuando tengan asignado su número de grupo van a tener un chat y un canal de voz por grupo.",2024-03-30T21:28:08.121Z,[]
1223745950103896156,julianlopez0817,"Me refería más a buscar un grupo, yo no tengo",2024-03-30T21:29:30.605Z,[]
1223746487255568414,aylenmsandoval,Ah! Te diría que escribas por  <#1221978402396045402>  preguntando si a alguien le falta un integrante,2024-03-30T21:31:38.672Z,[]
1223747049715929099,marianitus81,"Yo también me sumo al pedido, ya que estoy sin grupo.",2024-03-30T21:33:52.773Z,[]
1223792835044835419,eliasolivencia,"Buenas noches, tengo una duda al momento de crear el proyecto. No me aparece SDK como en el video y solo tengo la opción de eclipse y no me aparece java aunque chequee por consola y lo tengo instalado",2024-03-31T00:35:48.846Z,['images/1223792835044835419_image.png']
1223794229428621423,lucassaclier,"Elías, vos instalaste IntelliJ con Java 17? Revisá si tenés la JDK de Java y qué versión instalada.",2024-03-31T00:41:21.293Z,[]
1223824709058170902,tino.trossero,"Buenas nochess, tengo una duda sobre los diagramas de clases. El el caso de que una clase A tenga como atributo a un objeto de una clase B (asociacion), pero ademas, el A haga uso tmb del B  en un metodo del A (Dependencia/uso), se ponen ambas flechas? hay alguna jerarquia?",2024-03-31T02:42:28.203Z,[]
1223826931112345690,facundopiaggio,"Buenas! Se pueden poner ambas flechas, y sería lo correcto en términos de UML. Sin embargo, si las flechas de ""usa"" terminan ensuciando el diagrama, entonces no se ponen. Ahora bien, si la flecha de ""usa"" es la única que conecta a una de las dos clases si o si tiene que estar, pues de otra manera quedaría una clase en el aire que no está conectada con nada.",2024-03-31T02:51:17.982Z,[]
1223827095902228540,tino.trossero,"Joya, gracias!",2024-03-31T02:51:57.271Z,[]
